storerkey,sku,descr,packkey,Index,Paleta,obal
18833V  X4,4540426 02,P21 PPL OCT21,C11_24,1005949,C11,
18833V  X4,4540983 01,P21 PPL OCT21,C11_24,1005963,C11,
18833V  X4,4540421 02,P21 PPL OCT21,C11_24,1005964,C11,
18833V  X4,4540423 02,P21 PPL OCT21,C11_24,1005965,C11,
18833V  X4,4540429 02,P21 PPL OCT21,C11_24,1005966,C11,
18833V  X4,4540430 02,P21 PPL OCT21,C11_24,1005967,C11,
18833V  X4,4540438 02,P21 PPL OCT21,C11_24,1005974,C11,
18833V  X4,4540410 02,P21 PPL OCT21,C11_24,1006014,C11,
18833V  X4,4540980 01,P21 PPL OCT21,C11_24,1006015,C11,
18833V  X4,4540432 02,P21 PPL OCT21,C11_24,1006016,C11,
18833V  X4,4540409 02,P21 PPL OCT21,C11_24,1006019,C11,
18833V  X4,4540988 01,P21 PPL OCT21,C11_24,1006020,C11,
18833V  X4,4540433 02,P21 PPL OCT21,C11_24,1006021,C11,
18833V  X4,4540418 02,P21 PPL OCT21,C11_24,1006022,C11,
18833V  X4,4540978 01,P21 PPL OCT21,C11_24,1006023,C11,
18833V  X4,4540422 02,P21 PPL OCT21,C11_24,1006024,C11,
18833V  X4,4540425 02,P21 PPL OCT21,C11_24,1006025,C11,
18833V  X4,4540985 01,P21 PPL OCT21,C11_24,1006026,C11,
18833V  X4,4540989 01,P21 PPL OCT21,C11_24,1006027,C11,
18833V  X4,4540990 01,P21 PPL OCT21,C11_24,1006028,C11,
18833V  X4,4540436 02,P21 PPL OCT21,C11_24,1006029,C11,
18833V  X4,4540412 02,P21 PPL OCT21,C11_24,1006033,C11,
18833V  X4,4540986 01,P21 PPL OCT21,C11_24,1006034,C11,
18833V  X4,4540435 02,P21 PPL OCT21,C11_24,1006035,C11,
18833V  X4,4540413 02,P21 PPL OCT21,C11_24,1006169,C11,
18833V  X4,4540979 01,P21 PPL OCT21,C11_24,1006170,C11,
18833V  X4,4540416 02,P21 PPL OCT21,C11_24,1006171,C11,
18833V  X4,4540431 02,P21 PPL OCT21,C11_24,1006172,C11,
18833V  X4,4540434 02,P21 PPL OCT21,C11_24,1006173,C11,
18833V  X4,4540437 02,P21 PPL OCT21,C11_24,1006174,C11,
18833V  X4,4541299 01,P21 PPL OCT21,C11_24,1006228,C11,
18833V  X4,4540418 01,P21 PPL OCT21,C11_24,1006279,C11,
18833V  X4,4540425 01,P21 PPL OCT21,C11_24,1006280,C11,
18833V  X4,4540428 01,P21 PPL OCT21,C11_24,1006281,C11,
18833V  X4,4540408 01,P21 PPL OCT21,C11_24,1006320,C11,
18833V  X4,4540414 01,P21 PPL OCT21,C11_24,1006321,C11,
18833V  X4,4540416 01,P21 PPL OCT21,C11_24,1006322,C11,
18833V  X4,4540424 01,P21 PPL OCT21,C11_24,1006323,C11,
18833V  X4,4540429 01,P21 PPL OCT21,C11_24,1006324,C11,
18833V  X4,4540432 01,P21 PPL OCT21,C11_24,1006325,C11,
18833V  X4,4540410 01,P21 PPL OCT21,C11_24,1006347,C11,
18833V  X4,4540420 01,P21 PPL OCT21,C11_24,1006348,C11,
18833V  X4,4540431 01,P21 PPL OCT21,C11_24,1006349,C11,
18833V  X4,4540415 01,P21 PPL OCT21,C11_24,1006361,C11,
18833V  X4,4540426 01,P21 PPL OCT21,C11_24,1006362,C11,
18833V  X4,4540407 02,P21 PPL OCT21,C11_24,1006373,C11,
18833V  X4,4540976 01,P21 PPL OCT21,C11_24,1006374,C11,
18833V  X4,4540408 02,P21 PPL OCT21,C11_24,1006403,C11,
18833V  X4,4540977 01,P21 PPL OCT21,C11_24,1006404,C11,
18833V  X4,4540411 02,P21 PPL OCT21,C11_24,1006405,C11,
18833V  X4,4540414 02,P21 PPL OCT21,C11_24,1006406,C11,
18833V  X4,4540981 01,P21 PPL OCT21,C11_24,1006407,C11,
18833V  X4,4540415 02,P21 PPL OCT21,C11_24,1006408,C11,
18833V  X4,4540417 02,P21 PPL OCT21,C11_24,1006409,C11,
18833V  X4,4540982 01,P21 PPL OCT21,C11_24,1006410,C11,
18833V  X4,4540419 02,P21 PPL OCT21,C11_24,1006411,C11,
18833V  X4,4540984 01,P21 PPL OCT21,C11_24,1006412,C11,
18833V  X4,4540424 02,P21 PPL OCT21,C11_24,1006413,C11,
18833V  X4,4540987 01,P21 PPL OCT21,C11_24,1006414,C11,
18833V  X4,4540427 02,P21 PPL OCT21,C11_24,1006415,C11,
18833V  X4,4540428 02,P21 PPL OCT21,C11_24,1006416,C11,
18833V  X4,4541547 01,P21 PPL OCT21,C11_24,1006644,C11,
18833V  X4,4540421 04,P21 PPL OCT21,C11_24,1006645,C11,
